ID,Content
9890,my friend is a very good one and hes always thankful to me and hes always helpful all the time. When I was in… he helped me very lot. Yeah he is a good friend. Uh hes a good character and very helpful too
9766,"a good friend is somebody who listens to you when you need them to, who is there for you when most other people arent. A good friend is sombody who supports your goals and ambitions, is sombody who can be there not only when times are tough but also celebrate when you reach your goals and ambitions."
9525,"a good friend who is somebody that is always there for you, is there to pick you up when you're feeling down. Will help you out. "
9170,"a good friend is someone who is there for you, who is loyal and you have a lot in common. Like you can go and see a movie and they will like the movie you see because you both have similar interests. Um. They are"
9137,"oh I have a good friend umm, she's nice and sweet and cool and listens to me, and umm, we've been friends for 15 years, and um, I don't know she- I like her she's cool."
8917,"describing a good friend, a good friend is a friend who always there when we need them, and, they except our lack, what is it, our negative side, and telling us the truth, and because they love us, they want to"
8889,"a good friend is just somebody who you would get along with very well, you would be able to spend a lot of time with them. You can talk to them about personal issues and what's going on in your life. You would be able to um help each other out, you can get advise from the person, the person could give you advise about what is going on. You would be very open with each other, and basically just know everything about each other's lives, um. you would be very close, you'd spend alot of time together, and its just sombody you've probably spent a lot of time with who you've known"
8801,desribe a good friend. He's he's one of my best friends. He's also good…
8760,"someone im thinking of who is a good friend of mine, is loyal and honest, they're interested in getting to know me personally, getting to know me as I really am, they're interested in spending time with me. They're interested in providing various kinds of emotional and practice support. They're interested in learning about my hobbies and interests, and sharing things about themselves with me, and basically having a reciprocal relationship."
8759,"describe a good friend, ok, a good friend is a uhh making a good thoughts and uhh funny moments, and always help for me. He's always prefer anyone, hes latin."
8423,"a good friend of mine is named brandy, and she's pretty intelligent and we've known each other for quite a while. Shes different from me in some ways but we're also fairly similar, uh, I guess she's count material and on the other hand knows she also cares alot about people, and is pretty sensitive"
8366,someone that stands behind you and that supports you. And someone that shares your interests.
7984,"my friend is very sweet to me, he is uh very caring for me, he heals me more than anyone in this world…"
7683,"your friend is a good guy, you have to trust him, yeah a good friendship needs trust."
7544,"a good friend would be somebody that you can trust, that you would be able to tell anything, even if it was something that you were embarrassed about, something that you need help on, and that friend would, that friend would listen, and would provide help, would talk to you about things, and wouldn't repeat anything that you didn't want repeated."
7378,"my friend is a good, he manage money, hes very good boy, and nothing, he makes me very rich, he help me uh to micromoment, when I…"
6990,"a good friend is who always stand with us. Also who listen to us, who umm, who is always with us, so even at the time of crisis or even at the time of good things happens"
